Row Labels,Count of Delivery Date
1/13/2016,6
1/13/2018,3
1/13/2019,10
1/13/2020,15
1/13/2021,1
1/14/2016,13
1/14/2017,6
1/14/2018,3
1/14/2019,5
1/14/2020,9
1/14/2021,17
1/15/2016,2
1/15/2018,10
1/15/2019,13
1/15/2020,17
1/15/2021,1
1/16/2017,9
1/16/2018,1
1/16/2019,9
1/16/2020,13
1/17/2017,3
1/17/2018,9
1/17/2019,15
1/17/2020,23
1/18/2016,4
1/18/2017,9
1/18/2018,4
1/18/2019,22
1/18/2020,10
1/18/2021,8
1/19/2016,1
1/19/2017,3
1/19/2018,4
1/19/2019,7
1/19/2020,21
1/19/2021,1
1/20/2016,10
1/20/2017,2
1/20/2018,3
1/20/2019,21
1/20/2020,18
1/21/2016,2
1/21/2017,4
1/21/2018,1
1/21/2019,7
1/21/2020,22
1/21/2021,5
1/22/2016,3
1/22/2018,11
1/22/2019,17
1/22/2020,16
1/22/2021,1
1/23/2016,2
1/23/2018,3
1/23/2019,6
1/23/2020,10
1/23/2021,2
1/24/2016,3
1/24/2019,8
1/24/2020,14
1/24/2021,7
1/25/2016,3
1/25/2017,7
1/25/2018,2
1/25/2019,5
1/25/2020,25
1/25/2021,5
1/26/2016,7
1/26/2017,2
1/26/2018,8
1/26/2019,3
1/26/2020,4
1/26/2021,11
1/27/2016,2
1/27/2018,25
1/27/2019,12
1/27/2020,6
1/27/2021,12
1/28/2016,5
1/28/2017,1
1/28/2018,1
1/28/2019,1
1/28/2020,4
1/28/2021,1
1/29/2017,3
1/29/2018,29
1/29/2019,5
1/29/2020,7
1/29/2021,4
1/30/2016,3
1/30/2017,13
1/30/2018,6
1/30/2019,8
1/30/2020,22
1/31/2016,2
1/31/2017,6
1/31/2018,2
1/31/2019,16
1/31/2020,11
1/31/2021,2
10/13/2016,3
10/13/2017,8
10/13/2018,9
10/13/2019,18
10/13/2020,3
10/14/2016,2
10/14/2017,9
10/14/2018,5
10/14/2019,15
10/14/2020,1
10/15/2016,2
10/15/2017,2
10/15/2018,10
10/15/2019,7
10/15/2020,1
10/16/2016,1
10/16/2017,10
10/16/2018,19
10/16/2019,9
10/17/2016,4
10/17/2017,19
10/17/2018,9
10/17/2019,17
10/18/2016,5
10/18/2017,1
10/18/2018,7
10/18/2019,12
10/18/2020,2
10/19/2016,5
10/19/2017,6
10/19/2018,4
10/19/2019,1
10/19/2020,2
10/20/2016,2
10/20/2017,4
10/20/2018,2
10/20/2019,16
10/20/2020,4
10/21/2016,3
10/21/2017,6
10/21/2018,18
10/21/2019,11
10/22/2016,7
10/22/2017,4
10/22/2018,15
10/22/2019,3
10/22/2020,7
10/23/2017,8
10/23/2018,3
10/23/2019,6
10/23/2020,2
10/24/2017,9
10/24/2018,8
10/24/2019,8
